sessionToken,surveyId,experimentId,isComplete,participant,responseDate,responseId,block_1/Name,block_1/R32_10_BIH,block_1/R32_10_USA,block_1/R32_11_AUT,block_1/R32_11_ESP,block_1/R32_12_CRO,block_1/R32_12_POR,block_1/R32_13_ALG,block_1/R32_13_SUI,block_1/R32_14_AUS,block_1/R32_14_EGY,block_1/R32_15_ARG,block_1/R32_15_CPV,block_1/R32_16_COL,block_1/R32_16_GHA,block_1/R32_1_CAN,block_1/R32_1_RSA,block_1/R32_2_BRA,block_1/R32_2_JPN,block_1/R32_3_GER,block_1/R32_3_PAR,block_1/R32_4_MAR,block_1/R32_4_NED,block_1/R32_5_CIV,block_1/R32_5_NOR,block_1/R32_6_FRA,block_1/R32_6_SWE,block_1/R32_7_ECU,block_1/R32_7_MEX,block_1/R32_8_COD,block_1/R32_8_ENG,block_1/R32_9_BEL,block_1/R32_9_SEN,block_1/WC_Winner,block_1/question1,surveyStatus,length_ch,expanded
6b3f8493-48e8-4a1d-86ba-5b58c247dc5a,1a2633e3-4d84-499f-a5fa-b7f8bdd1598a,527237,TRUE,PARTICIPANT,2026-06-28 11:38:43,663e7cce-ed2c-4754-b9d3-8919c6d00824,Nina,2,1,0,3,2,3,1,3,1,3,3,1,2,1,2,1,3,1,3,0,2,3,1,2,2,0,1,2,0,4,3,1,ESP,Nina,RUNNING,1945,FALSE
37e0210a-80c5-44b4-8e64-7af6527c4a63,1a2633e3-4d84-499f-a5fa-b7f8bdd1598a,527237,TRUE,PARTICIPANT,2026-06-28 11:39:23,34a12553-8276-46f4-8f98-7130d25a001e,Saoirse,2,1,0,2,1,3,1,3,1,2,3,0,2,1,2,0,3,0,2,1,1,2,2,1,3,1,1,3,100,0,2,1,ARG,Saoirse,RUNNING,1982,FALSE
6f188b4d-518f-4b91-a3d6-2433613e1d12,1a2633e3-4d84-499f-a5fa-b7f8bdd1598a,527237,TRUE,PARTICIPANT,2026-06-28 13:15:26,98729dfe-23bf-4472-9fbd-7f7aae0c4b7a,Susanne,1,1,1,3,0,3,1,2,1,2,4,0,1,1,1,1,3,2,2,1,2,2,1,2,2,1,1,2,1,2,1,2,GER,Susanne,RUNNING,1911,FALSE
3ac8e61a-b553-4398-b258-dbd07ba2a59f,1a2633e3-4d84-499f-a5fa-b7f8bdd1598a,527237,TRUE,PARTICIPANT,2026-06-28 14:02:06,c68e996d-c3a3-4539-b44e-bbaf9df86a36,Luki,2,2,1,4,1,1,0,2,0,0,3,0,2,2,1,2,1,0,3,1,0,1,1,3,4,1,2,2,0,2,1,1,ARG,Luki,RUNNING,1996,FALSE
b546fa99-c0c9-4f86-9f45-6f1292cc7e07,1a2633e3-4d84-499f-a5fa-b7f8bdd1598a,527237,TRUE,PARTICIPANT,2026-06-28 14:04:29,20982cb0-71c3-488e-98e4-a09b06eb796b,Stefan,1,2,0,2,1,1,1,2,1,2,3,0,2,1,2,1,3,1,2,0,1,1,1,2,3,1,1,2,0,2,1,1,FRA,Stefan,RUNNING,2225,FALSE
